Path,Cycles,Box 0 volume,Box 0 energy,Box 0 pressure,Box 0 mol 0,Box 0 mol 1,Box 0 mol 2,Box 0 mol 3,Box 0 mol 4,Box 0 mol 5,Box 0 mol 6,Box 0 mol 7,Box 1 volume,Box 1 energy,Box 1 pressure,Box 1 mol 0,Box 1 mol 1,Box 1 mol 2,Box 1 mol 3,Box 1 mol 4,Box 1 mol 5,Box 1 mol 6,Box 1 mol 7
simulations/P1-T3-X49/2,33082,0.000000,-145110.268877,194.218202,0.000000,0.000000,14.902182,5.183393,0.000000,0.000000,0.000000,0.000000,863529.675603,-4899.476743,52.503248,0.000000,0.000000,45.097818,14.816607,0.000000,0.000000,0.000000,0.000000
simulations/P2-T3-X49/1,37003,0.000000,-212172.229819,254.223136,0.000000,0.000000,21.846418,7.344053,0.000000,0.000000,0.000000,0.000000,344076.045748,-8722.196502,105.280103,0.000000,0.000000,38.153582,12.655947,0.000000,0.000000,0.000000,0.000000
simulations/P2-T3-X49/2,37846,0.000000,-208086.444010,249.623197,0.000000,0.000000,21.275934,7.402367,0.000000,0.000000,0.000000,0.000000,347368.753047,-9008.482469,105.723859,0.000000,0.000000,38.724066,12.597633,0.000000,0.000000,0.000000,0.000000
simulations/P3-T3-X49/1,43384,0.000000,-261266.255532,282.845839,0.000000,0.000000,26.591186,9.346026,0.000000,0.000000,0.000000,0.000000,128289.277360,-17860.894254,210.671653,0.000000,0.000000,33.408814,10.653974,0.000000,0.000000,0.000000,0.000000
simulations/P3-T3-X49/2,37541,0.000000,-258211.915239,283.515511,0.000000,0.000000,26.266748,9.326337,0.000000,0.000000,0.000000,0.000000,122698.175622,-18863.705634,210.526746,0.000000,0.000000,33.733252,10.673663,0.000000,0.000000,0.000000,0.000000
simulations/P0-T4-X49/1,36545,0.000000,-94005.241127,161.088020,0.000000,0.000000,9.169462,4.347763,0.000000,0.000000,0.000000,0.000000,535497.020940,-8777.909536,100.397854,0.000000,0.000000,50.830538,15.652237,0.000000,0.000000,0.000000,0.000000
simulations/P0-T4-X49/2,33667,0.000000,-91097.840200,157.656987,0.000000,0.000000,8.808032,4.320908,0.000000,0.000000,0.000000,0.000000,547458.534859,-8615.443611,99.808556,0.000000,0.000000,51.191968,15.679092,0.000000,0.000000,0.000000,0.000000
simulations/P1-T4-X49/1,36738,0.000000,-143489.156378,227.858800,0.000000,0.000000,14.050819,6.526539,0.000000,0.000000,0.000000,0.000000,219526.861777,-16680.459290,198.361111,0.000000,0.000000,45.949181,13.473461,0.000000,0.000000,0.000000,0.000000
simulations/P1-T4-X49/2,41276,0.000000,-144097.166780,230.162409,0.000000,0.000000,14.089398,6.539127,0.000000,0.000000,0.000000,0.000000,219892.112267,-16773.954501,198.489387,0.000000,0.000000,45.910602,13.460873,0.000000,0.000000,0.000000,0.000000
simulations/P2-T4-X49/1,40485,0.000000,-192966.928319,283.157616,0.000000,0.000000,18.565691,9.047795,0.000000,0.000000,0.000000,0.000000,68041.440366,-42455.521946,421.624773,0.000000,0.000000,41.434309,10.952205,0.000000,0.000000,0.000000,0.000000
simulations/P2-T4-X49/2,40028,0.000000,-191650.547692,284.215389,0.000000,0.000000,18.409264,9.045768,0.000000,0.000000,0.000000,0.000000,67204.809388,-42449.340112,411.165208,0.000000,0.000000,41.590736,10.954232,0.000000,0.000000,0.000000,0.000000
simulations/P3-T4-X49/1,32779,0.000000,-217315.918118,308.232176,0.000000,0.000000,20.177431,11.179505,0.000000,0.000000,0.000000,0.000000,16900.320130,-114198.459837,859.006533,0.000000,0.000000,39.822569,8.820495,0.000000,0.000000,0.000000,0.000000
